retailer_id,contact_id,retailer_party_id,description,slogan,logo,external_retailer_id,abbreviation,account,inmar_pos_flag,pos_system,inmar_registration_flag,registration_system,house_holding_ind,private_label_pgm_ind,default_password,live_ind,primary_loyalty_type_id,inmar_managed_flag,consumer_metadata_ind,targeted_offer_ind
1,1,35,Hiller's,,,,hillers,,Y,,Y,,N,N,hillers,N,1,N,N,N
2,232,37,Weis Markets,,,,weis,,Y,,Y,,Y,Y,weis,Y,2,Y,N,N
3,233,39,SuperValu,,,,supervalu,,Y,,Y,,N,N,supervalu,N,2,N,N,N
4,25,41,Wagners,,,,wagners,,Y,,Y,,N,N,wagners,N,2,N,N,N
5,26,43,Brookville,,,,brookville,,Y,,Y,,N,N,brookville,N,2,N,N,N
6,27,45,Deca,,,,deca,,Y,,Y,,N,N,deca,Y,2,Y,N,N
7,222,47,Mackenthuns,,,,mackenthuns,,Y,,N,,N,N,mackenthuns,N,2,N,N,N
8,223,49,Fishers Foods,,,,fisherfoods,,N,ScanMaster,N,,Y,N,fisherfoods,N,2,Y,N,N
10,237,51,Publix,,,,publix,,Y,,Y,,N,N,publix,Y,1,Y,N,N
11,11537,355,BigZPhone,,,,bigzphone,,Y,,Y,,Y,N,UNKnown,Y,1,Y,N,N
12,14,53,BigZFoods,,,,bigzfoods,,Y,,Y,,N,Y,bigzfoods,Y,2,Y,N,N
13,260,55,Tops,,,,tops,,Y,,N,,Y,Y,tops,Y,2,Y,N,N
16,397,57,Rite Aid,,,,riteaid,,N,,N,,N,N,riteaid,Y,2,Y,N,N
17,7809,59,BigY,,,,bigy,,Y,,Y,,N,N,bigy,Y,2,N,N,N
18,7820,61,Walmart,,,,walmart,,Y,,Y,,N,N,walmart,N,2,N,N,N
19,7827,69,A&P,,,,a_and_p,,N,,N,,N,N,,N,2,N,N,N
20,7831,73,Bartell Drugs,,,,bartell,,N,,N,,N,N,,N,2,N,N,N
21,7833,75,Basha's,,,,bashas,,N,,N,,N,N,,Y,2,N,N,N
22,7835,77,Best Cellars,,,,bestcellars,,N,,N,,N,N,,N,2,N,N,N
